Form,Lemma,Definition
haec,"hic haec hoc",this (feminine nom / neuter pl)
hoc,"hic haec hoc",this (neuter nom/acc)
huius,"hic haec hoc",of this / his / hers / its
huic,"hic haec hoc",to/for this
hunc,"hic haec hoc",this (masculine acc)
hanc,"hic haec hoc",this (feminine acc)
hōc,"hic haec hoc",by/with/from this (masc/neut abl)
hāc,"hic haec hoc",by/with/from this (feminine abl)
hī,"hic haec hoc",these (masculine nom)
hae,"hic haec hoc",these (feminine nom)
hōrum,"hic haec hoc",of these (masc/neut gen)
hārum,"hic haec hoc",of these (feminine gen)
hōs,"hic haec hoc",these (masculine acc)
hās,"hic haec hoc",these (feminine acc)
hīs,"hic haec hoc",to/for/by/with/from these (dat/abl)
cuius,"quī quae quod",whose / of whom / of which
cui,"quī quae quod",to/for whom / to/for which
quem,"quī quae quod",whom / which (masc acc)
quam,"quī quae quod",whom / which (fem acc)
quō,"quī quae quod",by/with/from whom/which (masc/neut abl)
quā,"quī quae quod",by/with/from whom/which (fem abl)
quōrum,"quī quae quod",whose / of whom/which (masc/neut gen pl)
quārum,"quī quae quod",whose / of whom/which (fem gen pl)
quibus,"quī quae quod",to/for/by/with/from whom/which (dat/abl)
quōs,"quī quae quod",whom / which (masc acc pl)
quās,"quī quae quod",whom / which (fem acc pl)
cuius,"quis quid",whose? / of whom? / of what?
cui,"quis quid",to/for whom? / to/for what?
quem,"quis quid",whom? (masc/fem acc)
quō,"quis quid",by/with/from whom/what? (ablative)
eius,"is ea id",his / her / its / of that
eī,"is ea id",to/for him/her/it/that (dat) OR they (masc nom pl)
eum,"is ea id",him / that (masc acc)
eam,"is ea id",her / that (fem acc)
eō,"is ea id",by/with/from him/it/that (masc/neut abl)
eā,"is ea id",by/with/from her/that (fem abl)
iī,"is ea id",they / those (masc nom pl)
eae,"is ea id",they / those (fem nom pl)
eōrum,"is ea id",their / of those (masc/neut gen)
eārum,"is ea id",their / of those (fem gen)
eōs,"is ea id",them / those (masc acc pl)
eās,"is ea id",them / those (fem acc pl)
eīs,"is ea id",to/for/by/with/from them/those (dat/abl)
iīs,"is ea id",to/for/by/with/from them/those (dat/abl)
sum,"sum esse fuī futūrus",I am
es,"sum esse fuī futūrus",you are
est,"sum esse fuī futūrus",he/she/it is
sumus,"sum esse fuī futūrus",we are
estis,"sum esse fuī futūrus",y'all are
sunt,"sum esse fuī futūrus",they are
eram,"sum esse fuī futūrus",I was
erās,"sum esse fuī futūrus",you were
erat,"sum esse fuī futūrus",he/she/it was
