Latin Word,English Definition(s),Frequency,Part of Speech
"sum esse fuī futūrus","to be",296,Verb
"quī quae quod","who, which (relative pronoun or interrogative adjective)",258,Pronoun
"et","and",205,Conjunction
"is ea id","that; he/her/it/them",196,Pronoun
"in","in, on (with ablative); into (with accusative)",189,Preposition
"-que","and (postpositive)",126,"Conjunction (enclitic)"
"ad","to, towards (with accusative)",116,Preposition
"ut {or} utī","as, when; so that",115,"Conjunction / Adverb"
"suī sibi sē sē","himself/herself/itself/themselves",107,Pronoun
"nōn","not",95,Adverb
"omnis omne","all, every",94,Adjective
"hic haec hoc","this",92,Pronoun
"ā ab abs","away from, by",84,Preposition
"atque {or} ac","and also; (after a word implying comparison) as",83,Conjunction
"rēs reī {f.}","thing, affair, matter",79,Noun
"dē","about, down from",70,Preposition
"neque {or} nec","and not, (doubled) neither...nor",68,Conjunction
"possum posse potuī","to be able to, can",67,Verb
"ille illa illud","that (over there)",65,Pronoun
"tū tuī tibi tē tē","you",65,Pronoun
"ego meī mihi mē mē","I, me",64,Pronoun
"dīcō dīcere dīxī dictus","I say, speak, tell",61,Verb
"sed","but",60,Conjunction
"suus sua suum","his own, her own, its own, their own",56,Adjective
"Caesar Caesaris {m.}","Caesar",53,Noun
"faciō facere fēcī factus","do, make",53,Verb
"videō vidēre vīdī vīsus","see, seem",53,Verb
"cum (= quum)","when, although, because",50,Conjunction
"cum","with",46,Preposition
"ē ex","out of, from",46,Preposition
"quis quid","who? what? (in a question)",45,Pronoun
"etiam","also, even",43,Adverb
"habeō habēre habuī habitus","to have, hold, consider",41,Verb
"enim","for, because (always second in its clause)",40,Conjunction
"magnus magna magnum","big, great, large",39,Adjective
"aut {;} aut…aut","or; either...or",35,Conjunction
"ipse ipsa ipsum","he himself, she herself, that very thing",35,Pronoun
"sī","if",35,Conjunction
"tuus tua tuum","your, yours (singular)",35,Adjective
"volō velle voluī","to want, wish",30,Verb
"meus mea meum","my, mine",29,Adjective
"quod","because",28,Conjunction
"vōs vestrum {/} vestrī vōbīs","y'all; you (plural)",28,Pronoun
"īdem eadem idem","the same",27,Pronoun
"tantus tanta tantum","so great, so large",27,Adjective
"nē","so that . . . not; let . . . not!; after verbs of fearing, that",26,"Adverb / Conjunction"
"rēs pūblica reī pūblicae {f.}","republic, government, state",26,Noun
"senātus senātūs {m.}","senate",26,Noun
"homō hominis {m.}","person, human being, man",25,Noun
"tamen","however, nevertheless",25,Adverb
"tempus temporis {n.}","time",25,Noun
"ūnus ūna ūnum","one",25,Numeral
"alius alia aliud","other, another",24,Adjective
"quam","than; how . . . !; (with superlative) as _____ as possible",24,"Adverb / Conjunction"
"diēs diēī {m. or f.}","day",23,Noun
"pars partis {f.}","part, share, side",23,Noun
"superus supera superum","higher, upper",23,Adjective
"animus animī {m.}","soul, mind, spirit",22,Noun
"prōvincia prōvinciae {f.}","province",22,Noun
"multus multa multum","many, much",21,Adjective
"officium officiī {n.}","duty, service, office",21,Noun
"bellum bellī {n.}","war",20,Noun
"noster nostra nostrum","our, ours",20,Adjective
"per","through, by means of",20,Preposition
"quidem","indeed; limits the assertion to whatever word comes before",20,Adverb
"mīles mīlitis {m.}","soldier",19,Noun
"cōnsul cōnsulis {m.}","consul",18,Noun
"exercitus exercitūs {m.}","army",18,Noun
"nūllus nūlla nūllum","no, none, not any",18,Adjective
"ante","before (adverb and preposition with the accusative)",17,Preposition
"gerō gerere gessī gestus","to carry, manage; wage (war); wear (clothing)",17,Verb
"Pompēius Pompēiī {m.}","Pompeius, Pompey",17,Noun
"populus populī {m.}","the people, a people, a nation",17,Noun
"tōtus tōta tōtum","the whole, entire",17,Adjective
"veniō venīre vēnī ventum","to come",17,Verb
"autem","however, moreover",16,Conjunction
"causa causae {f.}","cause, reason",16,Noun
"genus generis {n.}","type, kind, class",16,Noun
"Helvētius (Helvēticus) Helvētia Helvētium","Helvetian",16,Adjective
"vīta vītae {f.}","life",16,Noun
"agō agere ēgī āctus","to drive, do, act",15,Verb
"aliquis aliquid {and} aliquī aliqua aliquod","someone, something, anyone, anything",15,Pronoun
"domus domūs {f.}","house, home",15,Noun
"locus locī {m. or} loca locōrum {n. pl.}","place, position",15,Noun
"Mārcus Mārcī {m.}","Marcus",15,Noun
"urbs urbis {f.}","city",15,Noun
"cōnsilium cōnsiliī {n.}","plan, advice, council",14,Noun
"dō dare dedī datus","to give",14,Verb
"fīnis fīnis {m.}","end; border, boundary",14,Noun
"flūmen flūminis {n.}","river",14,Noun
"ita","thus, so",14,Adverb
"iter itineris {n.}","journey, march, route",14,Noun
"iūs iūris {n.}","law, right, justice",14,Noun
"nihil {or} nīl {or} nihilō {n.}","nothing",14,Noun
"quis quid {(after sī nisi nē or num)}","anyone, anything",14,Pronoun
"reliquus reliqua reliquum","left behind, the remainder, the rest of",14,Adjective
"sententia sententiae {f.}","opinion, feeling",14,Noun
"sine","without (+ ablative)",14,Preposition
"contrā","against, opposite (+ accusative)",13,Preposition
"ferō ferre tulī lātus","carry, bear, endure",13,Verb
"Gallia Galliae {f.}","Gaul (modern day France)",13,Noun
"Lūcius Lūciī {m.}","Lucius (a Roman first name)",13,Noun
"nam","for, because (always first in its clause)",13,Conjunction
"ōrātiō ōrātiōnis {f.}","speech, oration",13,Noun
"ōrdō ōrdinis {m.}","order, rank, class",13,Noun
"pater patris {m.}","father",13,Noun
"ratiō ratiōnis {f.}","reason, method, plan",13,Noun
"socius sociī {m.}","comrade, ally",13,Noun
"sōlus sōla sōlum","alone, only",13,Adjective
"alter altera alterum","the other (of two)",12,Adjective
"annus annī {m.}","year",12,Noun
"calamitās calamitātis {f.}","calamity, disaster",12,Noun
"castra castrōrum {n. pl.}","military camp",12,Noun
"dēbeō dēbēre dēbuī dēbitus","ought, must, should; to owe",12,Verb
"duo duae duo","two",12,Numeral
"fortūna fortūnae {f.}","fortune, luck, chance",12,Noun
"iam","now, already",12,Adverb
"inter","between, among (+accusative)",12,Preposition
"magis {or} mage","more, rather",12,Adverb
"mittō mittere mīsī missus","to send, let go",12,Verb
"modo","only, just now, recently",12,Adverb
"nātūra nātūrae {f.}","nature, character",12,Noun
"nisi {or} nī","if . . . not, unless, except",12,Conjunction
"perīculum perīculī {n.}","danger, risk",12,Noun
"prō","in front of, for, on behalf of (+ablative)",12,Preposition
"putō putāre putāvī putātus","to think, believe, suppose",12,Verb
"Rōmānus Rōmāna Rōmānum","Roman",12,Adjective
"tribūnus tribūnī {m.}","Tribune",12,Noun
"tum {or} tunc","then, at that time",12,Adverb
"-ne","(introduces a yes/no question)",11,Particle
"arma armōrum {n. pl.}","arms, weapons",11,Noun
"cīvitās cīvitātis {f.}","state, citizenship",11,Noun
"cōpiae cōpiārum {f. pl.}","forces, troops",11,Noun
"dolor dolōris {m.}","pain, grief, sorrow",11,Noun
"igitur","therefore",11,Conjunction
"imperātor imperātōris {m.}","general, commander",11,Noun
"iūdicium iūdiciī {n.}","judgment, decision, trial",11,Noun
"laus laudis {f.}","praise, glory",11,Noun
"vester vestra vestrum","your, yours (plural)",11,Adjective
"vir virī {m.}","man, husband",11,Noun
"virtūs virtūtis {f.}","manliness, courage, virtue",11,Noun
"Asia Asiae {f.}","Asia",10,Noun
"audiō audīre audīvī audītus","to hear, listen to",10,Verb
"cōgō cōgere coēgī coāctus","to compel, force, collect",10,Verb
"cōnservō cōnservāre cōnservāvī cōnservātus","save, preserve, keep",10,Verb
"dīgnitās dīgnitātis {f.}","worthiness, dignity, rank",10,Noun
"dīmittō dīmittere dīmīsī dīmissus","to send away, dismiss",10,Verb
"grātiā {+ preceding genitive}","for the sake of, because of",10,Preposition
"grātia grātiae {f.}","gratitude, favor, influence",10,Noun
"imperium imperiī {n.}","power to command, authority, empire",10,Noun
"iste ista istud","that . . . of yours; that (often with contempt)",10,Pronoun
"legiō legiōnis {f.}","legion",10,Noun
"modus modī {m.}","way, manner, method",10,Noun
"obtineō obtinēre obtinuī obtentus","hold, possess, obtain",10,Verb
"parum {;} minus {;} minimē","(too) little; less; least",10,Adverb
"patior patī passus sum","to endure, suffer, allow",10,Verb
"pāx pācis {f.}","peace",10,Noun
"plēbs plēbis {f.}","the common people, the plebeians",10,Noun
"prīmus prīma prīmum","first",10,Adjective
"rēx rēgis {m.}","king",10,Noun
"salūs salūtis {f.}","safety, wellness; greetings",10,Noun
"uterque utraque utrumque","each (of two), both",10,Pronoun
"vērō","in truth, but, however (always second in its clause)",10,Adverb
"vīs vīs {f.}","force, violence; (pl.) strength",10,Noun
"āmittō āmittere āmīsī āmissus","to lose, send away",9,Verb
"bonus bona bonum","good",9,Adjective
"cīvis cīvis {m. or f.}","citizen",9,Noun
"cōnfīrmō cōnfīrmāre cōnfīrmāvī cōnfīrmātus","confirm, strengthen, encourage",9,Verb
"dūcō dūcere dūxī ductus","lead, guide, consider",9,Verb
"exīstimō exīstimāre exīstimāvī exīstimātus","reckon, consider, think",9,Verb
"exter extera exterum","on the outside, external, foreign",9,Adjective
"Gāius Gāiī {m.}","Gaius (a Roman first name)",9,Noun
"glōria glōriae {f.}","glory, fame",9,Noun
"lēgātus lēgātī {m.}","ambassador; deputy, lieutentant-general",9,Noun
"nōs nostrum {/} nostrī nōbīs","we, us",9,Pronoun
"numquam","never",9,Adverb
"parō parāre parāvī parātus","prepare, get ready",9,Verb
"paucī paucae pauca","few, a few",9,Adjective
"persuādeō persuādēre persuāsī persuāsus","persuade (+ dative)",9,Verb
"petō petere petiī {/} petīvī petītus","seek, ask for, attack",9,Verb
"probō probāre probāvī probātus","test, prove, approve",9,Verb
"propter","on account of, because of (+ accusative)",9,Preposition
"quīdam quaedam quiddam","a certain person or thing",9,Pronoun
"quoniam","since, because",9,Conjunction
"referō referre rettulī relātus","to bring back, report, refer",9,Verb
"sentiō sentīre sēnsī sēnsus","to feel, perceive, think",9,Verb
"vectīgal vectīgālis {n.}","tax, revenue",9,Noun
"an","or (in a question)",8,Conjunction
"auctōritās auctōritātis {f.}","authority, influence",8,Noun
"bene {;} melius {(comp.);} optimē {(superl.)}","well; better; best",8,Adverb
"bonum bonī {n.}","a good thing, a benefit; (pl.) goods, property",8,Noun
"certō {or} certē (certius)","certainly, surely",8,Adverb
"cēterus cētera cēterum {; often pl.} cēterī cēterae cētera","the rest, the others",8,Adjective
"dēfendō dēfendere dēfendī dēfensus","defend, protect",8,Verb
"facilis facile","easy",8,Adjective
"facultās facultātis {f.}","ability, opportunity, skill",8,Noun
"honestus honesta honestum","respectable, honorable",8,Adjective
"inimīcus inimīcī {m.}","(personal) enemy",8,Noun
"iniūria iniūriae {f.}","injustice, injury, wrong",8,Noun
"intellegō intellegere intellēxī intellēctus","to understand",8,Verb
Latin Word,English Definition(s),Frequency,Part of Speech
"interficiō interficere interfēcī interfectus","to kill",8,Verb
"Mārcellus Mārcellī {m.}","Marcellus (a Roman name)",8,Noun
"nēmō nēminis {m. or f.}","no one, nobody",8,Noun
"numerus numerī {m.}","number, group",8,Noun
"nunc","now",8,Adverb
"pertineō pertinēre pertinuī pertentus","to reach to, extend, pertain to",8,Verb
"proficīscor proficīscī profectus sum","set out, depart",8,Verb
"rēgnum rēgnī {n.}","kingdom, royal power",8,Noun
"sequor sequī secūtus sum","follow",8,Verb
"sīc","thus, so, in this way",8,Adverb
"spēs speī {f.}","hope",8,Noun
"ubi","when, where",8,Adverb
"ulterior ulterius {;} ultimus ultima ultimum","further; furthest, last",8,Adjective
"vērus vēra vērum","true, real",8,Adjective
"accipiō accipere accēpī acceptus","receive, accept",7,Verb
"aetās aetātis {f.}","age, time of life",7,Noun
"amīcus amīca amīcum","friendly; (as a noun) friend",7,Adjective
"Antōnius Antōniī {m.}","Antonius, Antony",7,Noun
"arbitror arbitrārī arbitrātus sum","to think, judge, believe",7,Verb
"capiō capere cēpī captus","to take, capture, seize",7,Verb
"cognōscō cognōscere cognōvī cognitus","to learn, get to know, recognize",7,Verb
"cōnficiō cōnficere cōnfēcī cōnfectus","to finish, accomplish",7,Verb
"cōnscrībō cōnscrībere cōnscrīpsī cōnscrīptus","to enlist, enroll",7,Verb
"cōnstituō cōnstituere cōnstituī cōnstitūtus","to decide, establish, set up",7,Verb
"conveniō convenīre convēnī conventus","to come together, assemble",7,Verb
"cūra cūrae {f.}","care, concern, anxiety",7,Noun
"ēvocō ēvocāre ēvocāvī ēvocātus","call out, summon",7,Verb
"hostis hostis {m.}","(public) enemy, enemy combatant",7,Noun
"iubeō iubēre iussī iussus","to order, command",7,Verb
"lēx lēgis {f.}","law, statute",7,Noun
"littera litterae {f.}","letter (of the alphabet); (in the plural) letter, literature",7,Noun
"mōns montis {m.}","mountain",7,Noun
"paene","almost, nearly",7,Adverb
"parvus parva parvum {/} minor minus {/} minimus minima minimum","small / smaller / smallest",7,Adjective
"proelium proeliī {n.}","battle",7,Noun
"proprius propria proprium","proper, one's own",7,Adjective
"Scīpiō Scīpiōnis {m.}","Scipio (a Roman name)",7,Noun
"studium studiī {n.}","zeal, enthusiasm, study",7,Noun
"tertius tertia tertium","third",7,Numeral
"trādō trādere trādidī trāditus","hand over, surrender",7,Verb
"vel","or, or even",7,Conjunction
"verbum verbī {n.}","word",7,Noun
"afferō afferre attulī allātus","bring to, report",6,Verb
"ager agrī {m.}","field, land, territory",6,Noun
"at {or} ast","but, but yet",6,Conjunction
"certus certa certum","certain, sure, fixed",6,Adjective
"cōgitō cōgitāre cōgitāvī cōgitātus","to think, ponder, consider",6,Verb
"commūnis commūnis commūne","common, shared",6,Adjective
"cōnor cōnārī cōnātus sum","to attempt, try",6,Verb
"disputō disputāre disputāvī disputātus","to discuss, debate, argue",6,Verb
"doceō docēre docuī doctus","to teach, explain, show",6,Verb
"factum factī {n.}","deed, act, accomplishment",6,Noun
"fidēs fideī {f.}","faith, trust, loyalty",6,Noun
"fīlius fīliī {m.}","son",6,Noun
"fiō fierī factus sum","to be done, become, happen",6,Verb
"fortis forte","brave, strong",6,Adjective
"Hispānia Hispāniae {f.}","Spain",6,Noun
"initium initiī {n.}","beginning, start",6,Noun
"itaque","and so, therefore",6,Conjunction
"iūdicō iūdicāre iūdicāvī iūdicātus","to judge, decide",6,Verb
"longus longa longum","long",6,Adjective
"loquor loquī locūtus sum","to speak, talk",6,Verb
"magnitūdō magnitūdinis {f.}","size, greatness",6,Noun
"multī multōrum {m. pl.}","many men, many people",6,Noun
"necessārius necessāria necessārium","necessary, related; (as a noun) relative, friend",6,Adjective
"oppidum oppidī {n.}","town",6,Noun
"Orgetorīx Orgetorīgis {m.}","Orgetorix (a leader of the Helvetii)",6,Noun
"pecūnia pecūniae {f.}","money",6,Noun
"potestās potestātis {f.}","power, authority, ability",6,Noun
"praetereō praeterīre praeterīvī {/} praeteriī praeteritus","to pass by, go past",6,Verb
"quantum","how much, as much as",6,Adverb
"quisque quidque {/} quīcque","each one, every one",6,Pronoun
"quoque","also, too",6,Adverb
"Rhēnus Rhēnī {m.}","The Rhine river",6,Noun
"saepe","often",6,Adverb
"statim","at once, immediately",6,Adverb
"teneō tenēre tenuī tentus","to hold, keep, possess",6,Verb
"tollō tollere sustulī sublātus","to raise, lift up; remove, destroy",6,Verb
"ūtor ūtī ūsus sum","to use, make use of (+ ablative)",6,Verb
"vīvō vīvere vīxī vīctus","to live, be alive",6,Verb
"absum abesse āfuī āfutūrus","to be absent, be distant",5,Verb
"accidō accidere accidī","to happen, fall upon",5,Verb
"adventus adventūs {m.}","arrival, approach",5,Noun
"Afrānius Afrāniī {m.}","Afranius (a Roman name)",5,Noun
"aliēnus aliēna aliēnum","belonging to another, foreign, strange",5,Adjective
"amīcitia amīcitiae {f.}","friendship",5,Noun
"audeō audēre ausus sum","to dare",5,Verb
"augur auguris {m. or f.}","augur (a religious official)",5,Noun
"Belgae Belgārum {m. pl.}","the Belgae, the Belgians",5,Noun
"beneficium beneficiī {n.}","kindness, favor, benefit",5,Noun
"centuriō centuriōnis {m.}","centurion (a military officer)",5,Noun
"commendō commendāre commendāvī commendātus","to recommend, entrust",5,Verb
"cōnsultum cōnsultī {n.}","decree, resolution",5,Noun
"crēdō crēdere crēdidī crēditus","to believe, trust (+ dative)",5,Verb
"cūr","why?",5,Adverb
"dēcernō dēcernere dēcrēvī dēcrētus","to decide, decree",5,Verb
"dīvidō dīvidere dīvīsī dīvīsus","to divide, separate",5,Verb
"dux ducis {m. or f.}","leader, general",5,Noun
"exemplum exemplī {n.}","example, model",5,Noun
"exspectō exspectāre exspectāvī exspectātus","to wait for, expect",5,Verb
"frūctus frūctūs {m.}","fruit, profit, enjoyment",5,Noun
"gravis grave","heavy, serious, severe",5,Adjective
"legō legere lēgī lēctus","to read; choose, gather",5,Verb
"Lentulus Lentulī {m.}","Lentulus (a Roman name)",5,Noun
"malum malī {n.}","an evil, a bad thing, misfortune",5,Noun
"mīlle {;} mīllēsimus mīllēsima mīllēsimum","a thousand; thousandth",5,Numeral
"multitūdō multitūdinis {f.}","multitude, large number, crowd",5,Noun
"nūntiō nūntiāre nūntiāvī nūntiātus","to announce, report",5,Verb
"omnīnō","altogether, completely, in all",5,Adverb
"post","after, behind (adverb and preposition + accusative)",5,Preposition
"praeceptum praeceptī {n.}","rule, instruction, command",5,Noun
"praesēns praesentis","present, at hand",5,Adjective
"praesertim","especially",5,Adverb
"prīvātus prīvāta prīvātum","private, personal",5,Adjective
"prohibeō prohibēre prohibuī prohibitus","to prevent, keep from, prohibit",5,Verb
"prope propius proximē","near, nearer, nearest",5,Adverb
"prōpōnō prōpōnere prōposuī prōpositus","to put forward, propose, set forth",5,Verb
"quamquam","although",5,Conjunction
"rēctus rēcta rēctum","correct, straight, right",5,Adjective
"reddō reddere reddidī redditus","to give back, return",5,Verb
"relinquō relinquere relīquī relictus","to leave behind, abandon",5,Verb
"Rhodanus Rhodanī {m.}","the Rhone river",5,Noun
"sciō scīre scīvī {/} sciī scītus","to know",5,Verb
"semper","always",5,Adverb
"Sēquanus Sēquana Sēquanum","Sequanian, of the Sequani (a Gallic tribe)",5,Adjective
"sīve {or} seu","or if, whether...or",5,Conjunction
"soleō solēre solitus sum","to be accustomed, be in the habit",5,Verb
"Sulla Sullae {m.}","Sulla (a Roman general and dictator)",5,Noun
"tālis tāle","such, of such a kind",5,Adjective
"terra terrae {f.}","earth, land, ground",5,Noun
"timor timōris {m.}","fear, anxiety",5,Noun
"ūllus ūlla ūllum","any",5,Adjective
"ūtilis ūtilis ūtile","useful, advantageous",5,Adjective
"ūtilitās ūtilitātis {f.}","usefulness, advantage",5,Noun
"victōria victōriae {f.}","victory",5,Noun
"vincō vincere vīcī victus","to conquer, win",5,Verb
"voluntās voluntātis {f.}","will, wish, desire",5,Noun
"vōx vōcis {f.}","voice, word",5,Noun
"accēdō accēdere accessī accessum","to approach, go to",4,Verb
"adversārius adversāria adversārium","opponent, adversary, enemy",4,Adjective
"altus alta altum","high, deep",4,Adjective
"amplus ampla amplum","large, spacious, distinguished",4,Adjective
"appellō appellāre appellāvī appellātus","to call, name",4,Verb
"apud","in the presence of, among, at the house of (+ accusative)",4,Preposition
"augeō augēre auxī auctus","to increase, enlarge, augment",4,Verb
"auxilium auxiliī {n.}","help, aid; (pl.) auxiliary troops",4,Noun
"cadō cadere cecidī cāsum","to fall, die",4,Verb
"cohors cohortis {f.}","cohort (a military unit)",4,Noun
"colō colere coluī cultus","to cultivate, worship, honor",4,Verb
"commemorō commemorāre commemorāvī commemorātus","to recall, mention, relate",4,Verb
"comparō comparāre comparāvī comparātus","to prepare, get ready, buy, obtain",4,Verb
"concēdō concēdere concessī concessus","to yield, grant, concede",4,Verb
"cōnferō cōnferre contulī collātus","to bring together, compare; go",4,Verb
